product,isin,exchange,benchmark,region,esgRating,totalExpanseRation,translateView,linkKid
SPDR S&P Euro Dividend Aristocrats ETF,IE00B5M1WJ87,Xetra,S&P Euro High Yield Dividend Aristocrats Index,Europa,A,0.3,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00B5M1WJ87&documentType=kiid&country=uk&language=en_gb&ticker=spyw-gy
iShares High Yield Corp Bond UCITS ETF EUR(Dist),IE00B66F4759,Xetra,Markit iBoxx Euro Liquid High Yield Index,Wereldwijd,BB,0.5,Bekijk,https://www.blackrock.com/kiid/literature/kiid/kiid-ir-ish-ishares-high-yield-corp-bond-ucits-etf-gb-ie00b66f4759-en.pdf
iSharesOil&Gas Exploration&Prod UCITS ETF USD(Acc),IE00B6R51Z18,Xetra,S&P Commodity Producers Oil&Gas Exploartion&Production Index,Wereldwijd,BBB,0.55,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-oil-gas-exploration-production-ucits-etf-usd-acc-gb-ie00b6r51z18-en.pdf
iShares Gold Producers UCITS ETF USD (Acc),IE00B6R52036,Xetra,S&P Commodity Producers Gold Index,Wereldwijd,A,0.55,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-gold-producers-ucits-etf-usd-acc-ch-ie00b6r52036-en.pdf
SPDR S&P 500 $,IE00B6YX5C33,London Stock Exchange (LSE),S&P 500 Index,Verenigde Staten,BBB,0.09,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00B6YX5C33&documentType=kiid&country=uk&language=en_gb&ticker=spy5-gy
SPDR S&P US Dividend Aristocrats ETF,IE00B6YX5D40,Xetra,S&P High Yield Dividend Aristocrats Index,Verenigde Staten,A,0.35,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BYTRR863&documentType=kiid&country=uk&language=en_gb&ticker=wnrg-na
VANGUARDFTSE100,IE00B810Q511,London Stock Exchange (LSE),FTSE 100,Verenigd Koninkrijk ,AA,0.09,Bekijk,https://api.vanguard.com/rs/gre/gls/1.3.0/documents/6021/dk
VANGUARD FTSE HDY,IE00B8GKDB10,Euronext Amsterdam,FTSE All-World High Dividend Yield Index,Wereldwijd,A,0.29,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6018/gb
VANGUARD FTSE EUR,IE00B945VV12,Euronext Amsterdam,FTSE Developed Europa Index,Europa,AA,0.1,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6022/gb
SPDR S&P Gbl Div Aristocrats UCITS ETF,IE00B9CQXS71,Xetra,S&P Global Dividend Aristocrats Quality Income Index,Wereldwijd,A,0.45,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00B9CQXS71&documentType=kiid&country=uk&language=en_gb&ticker=zprg-gy
VANGUARD FTSE APXJ,IE00B9F5YL18,Euronext Amsterdam,FTSE Developed Azi? Pacific ex-Japan Index,Azi?,AA,0.15,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6019/gb
iShares Core Glb Aggregate Bd UCITS ETF USD Acc,IE00BDBRDM35,Xetra,Bloomberg Barclays Global Aggregate Bond Index,Wereldwijd,A,0.1,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-core-global-aggregate-bond-ucits-etf-eur-hedged-acc-gb-ie00bdbrdm35-en.pdf
HAN-GINS INNOVAT TECHN,IE00BDDRF700,Borsa Italiana S.p.A.,Solactive Innovative Technologies TR USD,Wereldwijd,BBB,0.59,Bekijk,http://files.hanetf.com/funds/ITEK-IE00BDDRF700/KIID-HANGINSInnovativeTechnologiesUCITSETF%20Accumulating_EN.pdf
HAN-GINS CLOUD TECHNOL,IE00BDDRF924,Borsa Italiana S.p.A.,Solactive Cloud Technology TR USD,Wereldwijd,BBB,0.59,Bekijk,https://etp.hanetf.com/product/2/kiid-skyy-IE00BDDRF924-en-GB.pdf?_ga=2.49490277.2121314113.1616753498-403680991.1614342219
iShares Diverisified Comm SWAP UCITS ETF USD Acc,IE00BDFL4P12,Xetra,Bloomberg Commodity Index TR,Wereldwijd,-,0.19,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-diversified-commodity-swap-ucits-etf-gb-ie00bdfl4p12-en.pdf
WISDOMTREE ARTIF INTEL,IE00BDVPNG13,Borsa Italiana S.p.A.,Nasdaq CTA Artificial Intelligence Index,Wereldwijd,A,0.4,Bekijk,https://www.wisdomtree.eu/en-gb/-/media/eu-media-files/key-documents/kiids/wt/kiid-en-wisdomtree-artificial-intelligence-ucits-etf---usd-acc.pdf
L&G BATTERY VALUE-CHAIN UCITS ETF,IE00BF0M2Z96,Borsa Italiana S.p.A.,Solactive Battery Value-Chain NR USD,Wereldwijd,A,0.49,Bekijk,https://fundcentres.lgim.com/srp/lit/X3gkgw/KIID_LG-Battery-Value-Chain-UCITS-ETF-Battery-Value-Chain-USD-Acc_20-04-2020_Multi-Audience.pdf
I CRE ECRP BD A,IE00BF11F565,London Stock Exchange (LSE),Barclays Euro Corporate Bond Index,Europa,A,0.2,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-core-corp-bond-ucits-etf-eur-acc-gb-ie00bf11f565-en.pdf
iShares MSCI World Small Cap UCITS ETF USD Acc,IE00BF4RFH31,Xetra,MSCI World Small Cap Index,Wereldwijd,BBB,0.35,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-world-small-cap-ucits-etf-usd-acc-gb-ie00bf4rfh31-en.pdf
iShares MSCI EMU ESG Screened UCITS ETF EUR Acc,IE00BFNM3B99,Xetra,MSCI EMU ESG Screened Index,Europa,AA,0.12,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-emu-esg-screened-ucits-etf-eur-acc-gb-ie00bfnm3b99-en.pdf
iShares MSCI Europa ESG Screened UCITS ETF EUR Acc,IE00BFNM3D14,Xetra,MSCI Europa ESG Screened Index,Europa,AA,0.12,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-Europa-esg-screened-ucits-etf-eur-acc-gb-ie00bfnm3d14-en.pdf
iShares MSCI USA ESG Screened UCITS ETF USD Acc,IE00BFNM3G45,Xetra,MSCI USA ESG Screened Index,Verenigde Staten,BBB,0.07,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-usa-esg-screened-ucits-etf-usd-acc-gb-ie00bfnm3g45-en.pdf
iShares MSCI World ESG Screened UCITS ETF USD Acc,IE00BFNM3J75,Xetra,MSCI World ESG Screened Index,Wereldwijd,A,0.2,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-world-esg-screened-ucits-etf-usd-acc-gb-ie00bfnm3j75-en.pdf
 iShares MSCI EM IMI ESG Scrnd UCITS ETF USD Dist,IE00BFNM3N12,Xetra,MSCI EM IMI ESG Screened Index,Emerging markets,BBB,0.18,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-em-imi-esg-screened-ucits-etf-usd-dist-gb-ie00bfnm3n12-en.pdf
iShares MSCI EM IMI ESG Screened UCITS ETF USD Acc,IE00BFNM3P36,Xetra,MSCI EM IMI ESG Screened Index,Emerging markets,BBB,0.18,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-em-imi-esg-screened-ucits-etf-usd-acc-gb-ie00bfnm3p36-en.pdf
KRANE CSI INTERNET,IE00BFXR7892,Euronext Amsterdam,CSI Overseas China Internet Index,Azi?,-,0.75,Bekijk,https://dmsgovernance.com/wp-content/uploads/2018/11/KIID-for-Class-USD-KraneShares-ICAV-KraneShares-CSI-China-Internet-U....pdf
EMQQ EM MKTS INTERNET&,IE00BFYN8Y92,Borsa Italiana S.p.A.,EMQQ The EM Internet & Ecommerce USD,Emerging markets,BB,0.86,Bekijk,https://etp.hanetf.com/product/1/kiid-emqq-IE00BFYN8Y92-en-GB.pdf?_ga=2.252747785.124515488.1617270614-403680991.1614342219
 iShares Digital Security UCITS ETF USD (Dist),IE00BG0J4841,Xetra,STOXX Global Digital Security Index,Wereldwijd,A,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-digital-security-ucits-etf-usd-dist-gb-ie00bg0j4841-en.pdf
iShares Digital Security UCITS ETF USD Acc,IE00BG0J4C88,Xetra,STOXX Global Digital Security Index,Wereldwijd,A,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-digital-security-ucits-etf-gb-ie00bg0j4c88-en.pdf
Xtrackers ESG MSCI Emerging Markets UCITS ETF 1C,IE00BG370F43,Xetra,MSCI EM Low Carbon SRI Leaders Index,Emerging markets,BBB,0.25,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/25930204-c43d-44af-bbad-cfc590989069/IE00BG370F43-2019-10-15-CHB-KI-EN.pdf
The Medical Cannabis and Wellness UCITS ETF - Accumulating (EUR),IE00BG5J1M21,Xetra,Medical Cannabis and Wellness Equity,Noord Amerika,BBB,0.8,Bekijk,https://etp.hanetf.com/product/6/kiid-cbdx-IE00BG5J1M21-en-GB.pdf?_ga=2.244549253.124515488.1617270614-403680991.1614342219
iShares El Vehicles and DrivTech UCITS ETF USD Acc,IE00BGL86Z12,Xetra,STOXX Global Electric Vehicles & Driving Technology NET Index,Wereldwijd,BBB,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-electric-vehicles-and-driving-technology-ucits-etf-usd-acc-gb-ie00bgl86z12-en.pdf
Xtrackers Artific Intellig and BigDataUCITS ETF 1C,IE00BGV5VN51,Xetra,Nasdaq Yewno Glb AI and Big Data NR USD,Wereldwijd,A,0.35,Bekijk,https://etf.dws.com/en-gb/EmeaAssetDownload/Index/0d416761-02da-418b-b866-262252ebe479/KIID.pdf/
Xtrackers Future Mobility UCITS ETF 1C,IE00BGV5VR99,Xetra,Nasdaq Yewno Glb Future Mobility NR USD,Wereldwijd,BBB,0.35,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/180d7a1c-b603-43d2-9ffd-a82c3575ae92/IE00BGV5VR99-2019-05-28-CHB-KI-EN.pdf
SPDR SP 500ESG Acc,IE00BH4GPZ28,Euronext Amsterdam,S&P 500 ESG Exclusions II,Verenigde Staten,BBB,0.1,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BH4GPZ28&documentType=kiid&country=uk&language=en_gb&ticker=sppy-gy
iShares MSCI World ESG Enhanced UCITS ETF USD Acc,IE00BHZPJ569,Xetra,MSCI World ESG Enhanced Focus NET Index,Wereldwijd,-,0.2,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-world-esg-enhanced-ucits-etf-usd-acc-gb-ie00bhzpj569-en.pdf
SPDR Russell 2000 US Small Cap UCITS ETF,IE00BJ38QD84,Xetra,Russell 2000 Index,Verenigde Staten,BB,0.3,Bekijk,https://uk.spdrs.com/en/investors/
ISHARES CHINA U A,IE00BJ5JPG56,Euronext Amsterdam,MSCI China Index,China & Hong-Kong,BB,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-china-ucits-etf-usd-acc-gb-ie00bj5jpg56-en.pdf
WISDOMTREE CLOUD COMPU,IE00BJGWQN72,Borsa Italiana S.p.A.,BVP Nasdaq Emerging Cloud NTR Index,Wereldwijd,BB,0.4,Bekijk,https://www.wisdomtree.eu/en-gb/-/media/eu-media-files/key-documents/kiids/wt/kiid-en-wisdomtree-cloud-computing-ucits-etf--usd-acc.pdf
Rize Med Cannabis and Life Scis UCITS ETF USD Acc,IE00BJXRZ273,Xetra,Foxberry Medical Cnnb & LS NR USD,Wereldwijd,BBB,0.65,Bekijk,https://rizeetf.com/wp-content/uploads/2020/01/KIID-IE00BJXRZ273-Medical-Cannabis-IE_LU_GB.pdf
RIZE CYBERSECUR AND DA,IE00BJXRZJ40,Borsa Italiana S.p.A.,Foxberry Tmic Rrch Cybsy&Dt Prcy NR USD,Wereldwijd,BBB,0.45,Bekijk,https://rizeetf.com/wp-content/uploads/2020/01/KIID-IE00BJXRZJ40-Cybersecurity-IE_LU_GB.pdf
L&G Clean Water UCITS ETF Acc,IE00BK5BC891,Xetra,Solactive Clean Water NR USD,Wereldwijd,AA,0.5,Bekijk,https://fundcentres.lgim.com/srp/lit/7zL9BO/KIID_LG-Clean-Water-UCITS-ETF-Clean-Water-USD-Acc_15-07-2020_Multi-Audience.pdf
L&G Artificial Intelligence UCITS ETF,IE00BK5BCD43,Xetra,ROBO Gbl Artificial Intelligence USD,Wereldwijd,A,0.49,Bekijk,https://fundcentres.lgim.com/srp/lit/NoOyYB/KIID_LG-Artificial-Intelligence-UCITS-ETF-Artificial-Intelligence-USD-Acc_14-02-2020_Multi-Audience.pdf
Vanguard FTSE All-World UCITS ETF - (USD) Accumulating,IE00BK5BQT80,Xetra,FTSE All World,Wereldwijd,A,0.22,Bekijk,https://api.vanguard.com/rs/gre/gls/1.3.0/documents/21709/gb
SPDR STOXX ESG,IE00BK5H8015,Euronext Amsterdam,STOXX Europa 600 ESG-X Index,Europa,AA,0.12,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BK5H8015&documentType=kiid&country=uk&language=en_gb&ticker=zpdx-gy
WISDOMTREE BATTERY SOL,IE00BKLF1R75,Borsa Italiana S.p.A.,WisdomTree Battery Solutions TR USD,Wereldwijd,BBB,0.4,Bekijk,https://www.wisdomtree.eu/en-gb/-/media/eu-media-files/key-documents/kiids/wt/kiid-en-wisdomtree-battery-solutions-ucits-etf---usd-acc.pdf
ISHARES EMIM,IE00BKM4GZ66,Euronext Amsterdam,MSCI Emerging Markets Investable Market Index (IMI),Emerging markets,BBB,0.18,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-core-msci-em-imi-ucits-etf-usd-acc-gb-ie00bkm4gz66-en.pdf
Xtrackers MSCI World Momentum UCITS ETF 1C,IE00BL25JP72,Xetra,MSCI World Momentum Index (USD),Wereldwijd,BBB,0.25,Bekijk,https://etf.dws.com/GBR/ENG/Download/KIID/2edf960d-243f-4768-a9d5-f5df40ce4b22/IE00BL25JP72-2019-02-19-UKB-KI-EN.pdf
RIZE SUSTAINABLE FOOD ,IE00BLRPQH31,Borsa Italiana S.p.A.,Foxberry Tem Res Sus Future NR USD,Wereldwijd,A,0.45,Bekijk,https://rizeetf.com/wp-content/uploads/2020/09/KIID-IE00BLRPQH31-Sustainable-Food-IE_LU_GB.pdf
Xtrackers MSCI World Health Care UCITS ETF 1C,IE00BM67HK77,Borsa Italiana S.p.A.,MSCI World Health Care TRN Index,Wereldwijd,A,0.25,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/099e0ba7-4187-476f-9a4c-1d58bc107c51/IE00BM67HK77-2019-02-19-CHB-KI-EN.pdf
Xtrackers MSCI World Energy UCITS ETF 1C,IE00BM67HM91,Borsa Italiana S.p.A.,MSCI World Energy TRN Index,Wereldwijd,A,0.25,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/ed34347e-c4ca-4cc6-a487-78b83955c7ed/IE00BM67HM91-2019-02-19-CHB-KI-EN.pdf
Xtrackers MSCI World Information Tech UCITS ETF 1C,IE00BM67HT60,Xetra,MSCI World Information Technology TRN Index,Wereldwijd,BBB,0.25,Bekijk,https://etf.dws.com/en-gb/EmeaAssetDownload/Index/fb7e0ad7-2d18-479d-9e6a-bb0edf0d66ca/KIID.pdf/
VANECK VECTOR SEMICOND,IE00BMC38736,Borsa Italiana S.p.A.,MVIS US Listed Semicond 10%Capped TR USD,Wereldwijd,-,0.35,Bekijk,https://www.vaneck.com/globalassets/home/media/managedassets/etf-Europa/library/kiids/kiid_vaneck_vectors_semiconductor_ucits_etf_uk_ie.pdf
ETF Robotics,IE00BMW3QX54,Euronext Amsterdam,ROBO Gbl Robotic&Automat TR USD,Wereldwijd,A,0.8,Bekijk,https://fundcentres.lgim.com/srp/lit/76zwdO/KIID_LG-ROBO-Global-Robotics-and-Automation-UCITS-ETF-ROBO-Global-Robotics-and-Automation-USD-Acc_17-02-2021_Multi-Audience.pdf
iShares Edge MSCI WrldMmtFactor UCITS ETF USD Acc,IE00BP3QZ825,Xetra,MSCI World Momentum Index (USD),Wereldwijd,BBB,0.3,Bekijk,https://www.blackrock.com/ch/individual/en/literature/kiid/kiid-ishares-edge-msci-world-momentum-factor-ucits-etf-usd-acc-ch-ie00bp3qz825-en.pdf
VANECK VECTORS GOLD MINERS UCITS ETF,IE00BQQP9F84,Borsa Italiana S.p.A.,NYSE Arca Gold Miners NR USD,Wereldwijd,A,0.53,Bekijk,https://www.vaneck.com/etf-Europa/library/regulatory-documents/kiid-gdx-en/
VANECK JUNIOR GOLD MINERS UCITS ETF,IE00BQQP9G91,Borsa Italiana S.p.A.,MVIS Global Junior Gold Miners NR USD,Wereldwijd,BBB,0.55,Bekijk,https://www.vaneck.com/etf-Europa/library/regulatory-documents/kiid-gdxj-en/
iShares MSCI China A UCITS ETF USD (Acc),IE00BQT3WG13,Xetra,MSCI China A Inclusion Index,China,B,0.4,Bekijk,https://www.blackrock.com/kiid/en-gb?switch=y
Invesco S&P 500 ETF,IE00BRKWGL70,Xetra,S&P 500,China & Hong-Kong,BBB,0.05,Bekijk,https://etf.invesco.com/sites/default/files/documents/IE00BRKWGL70_EN_GB_IE_LU.pdf
ISH $ TRESU 20+,IE00BSKRJZ44,London Stock Exchange (LSE),ICE U.S. Treasury 20+ Years Bond Index,Wereldwijd,A,0.07,Bekijk,https://www.blackrock.com/kiid/en-gb?switch=y
Xtrackers MSCI Emerging Markets UCITS ETF 1C,IE00BTJRMP35,Xetra,MSCI Total Return Net Emerging Markets Index,Emerging markets,BBB,0.18,Bekijk,https://etf.dws.com/LUX/ENG/Download/KIID/IE00BTJRMP35/-/MSCI-Emerging-Markets-UCITS-ETF
SPDR S&P US ENERGY SEL SECTOR UCITS ETF,IE00BWBXM492,Borsa Italiana S.p.A.,S&P Energy Select Sector Daily Capped 25/20 Index,Verenigde Staten,BBB,0.15,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BWBXM492&documentType=kiid&country=uk&language=en_gb&ticker=zpde-gy
SPDR US TECH,IE00BWBXM948,Euronext Amsterdam,S&P Technology Select Sector Daily Capped 25/20 Index,Verenigde Staten,BBB,0.15,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BWBXM948&documentType=kiid&country=ie&language=en_gb&ticker=zpdt-gy
Invesco S&P 500 High Div Low Vol UCITS ETF Dis,IE00BWTN6Y99,Xetra,S&P 500 Low Volatility High Dividend NTR Index,Verenigde Staten,A,0.3,Bekijk,https://www.powersharesetf.com/sites/default/files/documents/IE00BWTN6Y99_EN_UK.pdf
 iShares China CNY Bond UCITS ETF USD Dist,IE00BYPC1H27,Euronext Amsterdam,Bloomberg Barclays China + Policy Bond Index,Wereldwijd,B,0.35,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-china-cny-bond-ucits-etf-usd-dist-gb-ie00bypc1h27-en.pdf
