product,isin,exchange,benchmark,region,esgRating,totalExpanseRation,translateView,linkKid
ETF Cyber Security,IE00BYPLS672,Euronext Amsterdam,NASDAQ ISE Cyber Security UCITS NR USD,Wereldwijd,BBB,0.75,Bekijk,https://fundcentres.lgim.com/srp/lit/Npenkw/KIID_LG-Cyber-Security-UCITS-ETF-Cyber-Security-USD-Acc_09-03-2021_Multi-Audience.pdf
SPDR Bloomberg Barclays 10+YUS Tr Bond UCITS ETF,IE00BYSZ5V04,Xetra,Bloomberg Barclays U.S. 10+ Year Treasury Bond Index,Verenigde Staten,A,0.15,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BYSZ5V04&documentType=kiid&country=uk&language=en_gb&ticker=sppx-gy
SPDR MSCI W ENERGY,IE00BYTRR863,Euronext Amsterdam,MSCI World Energy 35/20 Capped Index,Wereldwijd,A,0.3,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BYTRR863&documentType=kiid&country=uk&language=en_gb&ticker=wnrg-na
SPDR MSCI W HEALTH,IE00BYTRRB94,Euronext Amsterdam,MSCI World Health Care 35/20 Capped Index,Wereldwijd,A,0.3,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BYTRRB94&documentType=kiid&country=uk&language=en_gb&ticker=whea-na
SPDR MSCI W TECH,IE00BYTRRD19,Euronext Amsterdam,MSCI World Information Technology 35/20 Capped Index,Wereldwijd,BBB,0.3,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BYTRRD19&documentType=kiid&country=uk&language=en_gb&ticker=wtch-na
iShares NASDAQ 100 UCITS ETF USD (Acc),IE00BYVQ9F29,Xetra,Nasdaq-100,Verenigde Staten,BBB,0.36,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-nasdaq-100-ucits-etf-eur-hedged-acc-gb-ie00byvq9f29-en.pdf
VanEck Vectors VideoGaming&eSports UCITS ETF USD A,IE00BYWQWR46,Xetra,MVIS Global Video Gaming and eSports Index,Wereldwijd,BB,0.55,Bekijk,https://www.vaneck.com/globalassets/home/media/managedassets/etf-Europa/library/kiids/kiid_vaneck_vectors_video_gaming_and_esports_ucits_etf_uk_ie.pdf
iShares Automation & Robotics UCITS ETF USD (Dist),IE00BYWZ0333,Xetra,iSTOXX FactSet Automation & Robotics Index,Wereldwijd,BBB,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-automation-robotics-ucits-etf-usd-dist-gb-ie00bywz0333-en.pdf
iShares MSCI World SRI UCITS ETF EUR Acc,IE00BYX2JD69,Xetra,MSCI WORLD SRI Select Index,Wereldwijd,AA,0.2,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-world-sri-ucits-etf-eur-acc-gb-ie00byx2jd69-en.pdf
iShares Nasdaq US Biotechnology ETF USD Acc,IE00BYXG2H39,Xetra,Nasdaq Biotechnology Index(R) (USD),Wereldwijd,BBB,0.35,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-nasdaq-us-biotechnology-ucits-etf-gb-ie00byxg2h39-en.pdf
iShares Automation & Robotics UCITS ETF USD (Acc),IE00BYZK4552,Xetra,iSTOXX FactSet Automation & Robotics Index,Wereldwijd,BBB,0.4,Bekijk,https://www.ishares.com/uk/professional/en/literature/kiid/kiid-ishares-automation-robotics-ucits-etf-usd-acc-gb-ie00byzk4552-en.pdf
iShares Healthcare Innovation UCITS ETF USD (Acc),IE00BYZK4776,Xetra,iSTOXX FactSet Breakthrough Healthcare Index,Wereldwijd,BBB,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-healthcare-innovation-ucits-etf-usd-acc-gb-ie00byzk4776-en.pdf?switchLocale=y&siteEntryPassthrough=true
iShares Digitalisation UCITS ETF USD (Acc),IE00BYZK4883,Xetra,iSTOXX FactSet Digitalisation Index,Wereldwijd,BBB,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-digitalisation-ucits-etf-usd-acc-gb-ie00byzk4883-en.pdf
Xtrackers ESG MSCI World UCITS ETF - 1C,IE00BZ02LR44,Xetra,MSCI World Low Carbon SRI Leader,Wereldwijd,AA,0.2,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/c4651f30-b779-4061-9c83-858f0c3e4335/IE00BZ02LR44-2019-02-19-CHB-KI-EN.pdf
Xtrackers USD Corporate Bond UCITS ETF 1D,IE00BZ036J45,Xetra,BBgBarc USD Liquid IG Corporate TR USD,Wereldwijd,A,0.21,Bekijk,https://etf.dws.com/LUX/ENG/Download/KIID/IE00BZ036J45/-/USD-Corporate-Bond-UCITS-ETF
VANGUARD EURGVBD,IE00BZ163H91,Euronext Amsterdam,Bloomberg Barclays Euro Aggregate: Treasury Index,Europa,A,0.07,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6703/gb
VANGUARD USDTRBOND,IE00BZ163M45,Euronext Amsterdam,BBgBarc Glb Agg US Treas Fl Adj TR USD,Verenigde Staten,A,0.07,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6706/gb
WISDOMTREE GLOB QUAL DIV GROW UCITS ETF,IE00BZ56SW52,Borsa Italiana S.p.A.,WisdomTree Gbl Dev Qua Div Growth TR USD,Wereldwijd,A,0.38,Bekijk,https://www.wisdomtree.eu/en-gb/-/media/eu-media-files/key-documents/kiids/wt/kiid-en-wisdomtree-global-quality-dividend-growth---acc-ie00bz56sw52_20022017.pdf
iShares MSCI India UCITS ETF USD Acc,IE00BZCQB185,Xetra,MSCI India NR USD,India,BBB,0.65,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-msci-india-ucits-etf-usd-acc-ch-ie00bzcqb185-en.pdf
LYXOR ETF DAX,LU0252633754,Euronext Paris,DAX Index,Europa,AA,0.15,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-dax-dr-ucits-etf-acc-capi/lu0252633754/gbp?documentLanguage=English
Xtrackers II Global Government Bond UCITS ETF 5C,LU0378818131,Xetra,FTSE World Government Bond Index - Developed Markets,Wereldwijd,A,0.25,Bekijk,https://etf.dws.com/en-lu/EmeaAssetDownload/Index/38230e94-bcd3-43e2-bcb0-5eb6228e9a46/KIID.pdf/
Xtrackers II ESG EUR Corporate Bond UCITS ETF 1C,LU0484968812,Xetra,Bloomberg Barclays MSCI Euro Corporate Sustainable and SRI Index,Europa,AA,0.16,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/5995002a-bb8b-4144-bbd6-cd19b9041f93/LU0484968812-2019-02-18-CHB-KI-EN.pdf
ComStage NYSE Arca Gold BUGS UCITS ETF,LU0488317701,Xetra,NYSE Arca Gold Bugs Index,Wereldwijd,A,0.65,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-nyse-arca-gold-bugs-dr-ucits-etf-distrib/lu0488317701/chf?documentLanguage=English
LYXOR ETF SP500,LU0496786574,Euronext Paris,S&P 500 Total Return,Verenigde Staten,BBB,0.09,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-sp-500-ucits-etf-dist-eur-distrib/lu0496786574/eur?documentLanguage=English
Xtrackers MSCI China UCITS ETF 1C,LU0514695690,Xetra,MSCI China TR Net Daily USD Index,China & Hong-Kong,BB,0.65,Bekijk,https://etf.dws.com/en-gb/EmeaAssetDownload/Index/9e7a9eb9-bb9a-4e2a-a7d2-644606b29f59/KIID.pdf/
UBS ETF MSCI World Socially Resp UCITS (USD) Ad,LU0629459743,Xetra,MSCI World SRI Low Carbon Select 5% Issuer Capped Index,Wereldwijd,AA,0.22,Bekijk,https://www.ubs.com/2/e/kiid/KIID_LU0629459743_en_GB.pdf
UBS ETF-MSCI USA Socially Responsible U (USD)Ad,LU0629460089,Xetra,MSCI USA SRI Low Carbon Select 5% Issuer Capped Index,Verenigde Staten,AA,0.22,Bekijk,https://www.ubs.com/2/e/kiid/KIID_LU0629460089_en_GB.pdf
UBS ETF ESREUA,LU0629460675,Euronext Amsterdam,MSCI EMU SRI Low Carbon Select 5% Issuer Capped Index (Net Return),Europa,AA,0.22,Bekijk,https://www.ubs.com/2/e/kiid/KIID_LU0629460675_en_GB.pdf
Xtrackers CSI300 Swap UCITS ETF 1C,LU0779800910,Xetra,CSI 300 Total Return Net Index,China & Hong-Kong,A,0.5,Bekijk,https://etf.dws.com/GBR/ENG/Download/KIID/1c38b5a1-f138-4c57-9b5c-666bef1b364e/LU0779800910-2019-02-19-UKB-KI-EN.pdf
Xtrackers Nikkei 225 1D JPY UCITS ETF,LU0839027447,Borsa Italiana S.p.A.,Nikkei 225 Total Return Net Index,Japan,AA,0.09,Bekijk,https://etf.deutscheam.com/GBR/ENG/Download/KIID/LU0839027447/B98DR24/Nikkei-225-UCITS-ETF-(DR)
LYXOR STOXX Europa 600 (DR) UCITS ETF,LU0908500753,Borsa Italiana S.p.A.,STOXX Europa 600 (Net Return) EUR,Europa,AA,0.07,Bekijk,https://www.lyxoretf.co.uk/en/retail/resources/documents/kiid/lyxor-core-stoxx-europe-600-dr-ucits-etf-acc-capi/lu0908500753/gbp?documentLanguage=English
Xtrackers II Glbal Aggregate Bnd Swap UCITS ETF 1D,LU0942970798,Xetra,Barclays Global Aggregate Corporate Bond Index,Wereldwijd,A,0.2,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/b47d40b7-f652-4cf1-be0d-07f5cc92412a/LU0942970798-2019-02-19-CHB-KI-EN.pdf
UBS ETF MSCI World Socially Resp UCITS (USD) Ad,LU0950674332,Xetra,MSCI World SRI Low Carbon Select 5% Issuer Capped Index,Wereldwijd,AA,0.22,Bekijk,https://www.ubs.com/2/e/kiid/KIID_LU0950674332_en_CH.pdf
UBS MSCI EM MKTS SOCIALLY RESP UCITS ETF,LU1048313891,Borsa Italiana S.p.A.,MSCI Emerging Market SRI Low Carbon Select 5% Issuer Capped Index,Emerging markets,A,0.27,Bekijk,https://www.ubs.com/2/e/kiid/KIID_LU1048313891_en_GB.pdf
Xtrackers II EUR High Yield Corp Bond UCITS ETF 1D,LU1109942653,Xetra,Markit iBoxx EUR Liquid High Yield Index,Wereldwijd,BB,0.2,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/765ab066-1c39-4eff-81e3-92759e5d42f5/LU1109942653-2019-07-01-CHB-KI-EN.pdf
LYXOR EUROMTS 710Y,LU1287023185,Euronext Paris,MTS Mid Price InvG Ex-CNO Etrix 7-10 (EUR),Wereldwijd,A,0.165,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-euro-government-bond-710y-dr-ucits-etf-acc-capi/lu1287023185/eur?documentLanguage=English
UBS BARC USD EM MKT SOV UCITS ETF EU HED,LU1324516308,Borsa Italiana S.p.A.,Bloomberg Barclays Emerging Markets USD Sovereign & Agency 3% Country Capped hedged to GBP Index (Total Return),Wereldwijd,BB,0.47,Bekijk,https://www.ubs.com/2/e/kiid/KIID_LU1324516308_en_GB.pdf
UBS ETF BAR TIPS 1-10 EU HDG UCITS ETF,LU1459801780,Borsa Italiana S.p.A.,BBgBarc US Govt Infl Lkd 1-10Y TR USD,Verenigde Staten,A,0.2,Bekijk,https://www.ubs.com/2/e/kiid/KIID_LU1459801780_en_GB.pdf
AMUNDI ETF STOX600,LU1681040223,Euronext Paris,100% STOXX 600,Europa,BBB,0.18,Bekijk,https://www.amundietf.co.uk/retail/dl/doc/kiid/LU1681040223/ENG/GBR
AMUNDI MSCI Europa,LU1681042609,Euronext Paris,100% MSCI Europa (15),Europa,A,0.15,Bekijk,https://www.amundietf.co.uk/retail/dl/doc/kiid/LU1681042609/ENG/GBR
AMUNDI ETF MSCI WR,LU1681043599,Euronext Paris,MSCI World ex Europa,Wereldwijd,AA,0.38,Bekijk,https://www.amundietf.co.uk/retail/dl/doc/kiid/LU1681043599/ENG/GBR
AMUNDI ETF EM Azi?,LU1681044480,Euronext Paris,100% MSCI EM Azi?,Emerging markets,A,0.2,Bekijk,https://www.amundietf.co.uk/retail/dl/doc/kiid/LU1681044480/ENG/GBR
AMUNDI ETF MSCI EM,LU1681045370,Euronext Paris,100% MSCI EM (EMERGING MARKETS),Emerging markets,A,0.2,Bekijk,https://www.amundietf.co.uk/retail/dl/doc/kiid/LU1681045370/ENG/GBR
AMUNDI ETF CAC 40,LU1681046931,Euronext Paris,CAC 40,Europa,A,0.25,Bekijk,https://www.amundi.lu/retail/document/download/LU1681046931/KIID/EN
AMUNDIETF CAC40(D),LU1681047079,Euronext Paris,CAC 40,Europa,A,0.25,Bekijk,https://www.amundi.lu/retail/document/download/LU1681047079/KIID/EN
AMUNDI ETF ES50 C,LU1681047236,Euronext Paris,Euro STOXX 50,Europa,A,0.15,Bekijk,https://www.amundi.lu/retail/document/download/LU1681047236/KIID/EN
AMUNDI ETF SP 500,LU1681048804,Euronext Paris,100% S&P 500 COMPOSITE,Verenigde Staten,A,0.15,Bekijk,https://www.amundietf.co.uk/retail/dl/doc/kiid/LU1681048804/ENG/GBR
Lyxor Global Gender Equality (DR) UCITS ETF - Acc,LU1691909508,Xetra,Solactive Equileap Global Gender Equality Net Total Return Index,Europa,AA,0.2,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-global-gender-equality-dr-ucits-etf-acc-capi/lu1691909508/gbp?documentLanguage=English
LYXOR CORE MSCI WORLD ,LU1781541179,Borsa Italiana S.p.A.,MSCI World Net Total Return USD Index,Wereldwijd,A,0.12,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-core-msci-world-dr-ucits-etf-acc-capi/usd
Lyxor MSCI World ESG Trend Leaders (DR) UCITS ETF,LU1792117779,Xetra,MSCI World Select ESG Rating and Trend Leaders Net Return USD Index,Wereldwijd,AA,0.2,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-msci-world-esg-trend-leaders-dr-ucits-etf-acc-capi/usd
MULTI LY COMMO CRB,LU1829218749,Euronext Paris,Thomson Reuters/CoreCommodity CRB Total Return Index,Wereldwijd,-,0.35,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-commodities-refinitivcorecommodity-crb-tr-ucits-etf-acc-capi/lu1829218749/gbp?documentLanguage=English
MULTI NASDAQ 100,LU1829221024,Euronext Paris,NASDAQ-100 Notional Net Total Return Index,Zuid Korea,BBB,0.22,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-nasdaq100-ucits-etf-acc-capi/lu1829221024/gbp?documentLanguage=English
LYXOR STX EU BANKS,LU1834983477,Euronext Paris,STOXX Europa 600 Banks Net Return EUR,Europa,AA,0.3,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-stoxx-Europa-600-banks-ucits-etf-acc-capi/eur?documentLanguage=English
LYXOR STX EU HLTHC,LU1834986900,Euronext Paris,STOXX Europa 600 Health Care Net Return EUR,Europa,AA,0.3,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-stoxx-Europa-600-healthcare-ucits-etf-acc-capi/lu1834986900/eur?documentLanguage=English
LYXOR ST EU OILGAS,LU1834988278,Euronext Paris,STOXX Europa 600 Oil & Gas (Net Return) EUR,Europa,A,0.3,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-stoxx-Europa-600-oil-gas-ucits-etf-acc-capi/eur?documentLanguage=English
Lyxor Robotics & AI UCITS ETF - Acc,LU1838002480,Xetra,Rise of the Robots NTR Index,Verenigde Staten,AA,0.4,Bekijk,https://www.lyxoretf.nl/en/instit/resources/documents/factsheets/lyxor-msci-robotics-ai-ucits-etf-acc-capi/lu1838002480/eur?documentLanguage=English
LYXOR MSCI Brazili?,LU1900066207,Euronext Paris,MSCI Brazili? Net Total Return USD Index,Brazili?,BBB,0.65,Bekijk,https://www.lyxoretf.nl/en/retail/resources/documents/kiid/lyxor-msci-brazil-ucits-etf-acc-capi/lu1900066207/eur?documentLanguage=english
LYXOR MSCI Turkije ,LU1900067601,Euronext Paris,MSCI Turkije  Net Total Return Index,Turkije ,A,0.45,Bekijk,https://www.lyxoretf.lu/en/retail/resources/documents/kiid/lyxor-msci-turkey-ucits-etf-acc-capi/lu1900067601/eur
LYXOR ETF Rusland,LU1923627092,Euronext Paris,MSCI Rusland IMI Select GDR Net Total Return USD Index,Rusland,BBB,0.65,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-msci-Rusland-ucits-etf-acc-capi/lu1923627092/eur
LYXOR MSCI DISRU TECH ,LU2023678282,Borsa Italiana S.p.A.,MSCI ACWI IMI Dis Tech ESG Fil NR USD,Wereldwijd,BBB,0.15,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-msci-disruptive-technology-esg-filtered-dr-ucits-etf-acc-capi/lu2023678282/usd?documentLanguage=English
LYXOR MSCI FUTU MOBIL ,LU2023679090,Borsa Italiana S.p.A.,MSCI ACWI IMI Future Mob ESG Fil NR USD,Wereldwijd,BBB,0.15,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-msci-future-mobility-esg-filtered-dr-ucits-etf-acc-capi/lu2023679090/usd?documentLanguage=English
Lyxor Nasdaq-100 Ucits ETF Dis,LU2197908721,Xetra,NASDAQ 100 NR USD,Verenigde Staten,BBB,0.22,Bekijk,https://www.lyxoretf.lu/en/retail/resources/documents/kiid/lyxor-nasdaq100-ucits-etf-dist-usd-distrib/lu2197908721/eur?documentLanguage=English
VanEck AEX,NL0009272749,Euronext Amsterdam,AEX TR-index,Europa,AA,0.3,Bekijk,https://www.vaneck.com/globalassets/home/media/managedassets/etf-Europa/library/kiids/en_kiid-think-aex-ucits-etf-en.pdf
VanEck Vectors Global Real Estate UCITS ETF,NL0009690239,Euronext Amsterdam,Global Property Research (GPR) Global 100 Index,Wereldwijd,BB,0.25,Bekijk,https://www.vaneck.com/globalassets/home/media/managedassets/etf-Europa/library/kiids/en_kiid-think-tret-ucits-etf-en.pdf
VANECK SUST WORLD ETF,NL0010408704,Euronext Amsterdam,Solactive Sustainable World Equity Index GTR,Wereldwijd,AA,0.3,Bekijk,https://www.vaneck.com/globalassets/home/media/managedassets/etf-Europa/library/kiids/en_kiid-think-tswe-ucits-etf-en.pdf
VANECK MRNGSTR DV ETF,NL0011683594,Euronext Amsterdam,Morningstar Developed Markets Large Cap Dividend Leaders Index,Wereldwijd,A,0.38,Bekijk,https://www.vaneck.com/globalassets/home/media/managedassets/etf-Europa/library/kiids/en_kiid-think-tdiv-ucits-etf-en.pdf
