code,market,correct_industry
6857,japan,Semiconductors
8035,japan,Semiconductors
7735,japan,Semiconductors
8155,japan,Semiconductors
7722,japan,Semiconductors
7739,japan,Semiconductors
6383,japan,Semiconductors
240810,korea,Semiconductors
281820,korea,Semiconductors
232140,korea,Semiconductors
083310,korea,Semiconductors
009310,korea,Semiconductors
319660,korea,Semiconductors
095610,korea,Semiconductors
079370,korea,Semiconductors
084370,korea,Semiconductors
089970,korea,Semiconductors
039030,korea,Semiconductors
322310,korea,Semiconductors
403870,korea,Semiconductors
348210,korea,Semiconductors
065130,korea,Semiconductors
042700,korea,Semiconductors
036810,korea,Semiconductors
036200,korea,Semiconductors
BESI,netherlands,Semiconductors
ASM,netherlands,Semiconductors
OXIG,uk,Semiconductors
SMHN,germany,Semiconductors
AIXA,germany,Semiconductors
WAF,germany,Semiconductors
IFCN,switzerland,Semiconductors
KIT,norway,Semiconductors
LPK,germany,Semiconductors
002594,china,Motor Vehicles
FSLR,america,Electrical Products
MPWR,america,Electrical Products
ENPH,america,Electrical Products
DQ,america,Electrical Products
SPWR,america,Electrical Products
CSIQ,america,Electrical Products
00968,hongkong,Electrical Products
01799,hongkong,Electrical Products
00438,hongkong,Electrical Products
00757,hongkong,Electrical Products
RR.,uk,Motor Vehicles
GLEN,uk,Other Metals/Minerals
INPST,netherlands,Air Freight/Couriers