indices,order,region
1.000001,240,中国
0.399001,240,中国
1.000300,240,中国
0.399006,240,中国
1.000688,240,中国
1.000852,240,中国
0.899050,240,中国
100.HSI,330,香港
124.HSTECH,330,香港
100.N225,300,亚太
100.KS11,390,亚太
100.TWII,270,亚太
100.SENSEX,375,印度
100.DJIA,390,美国
100.NDX,390,美国
100.SPX,390,美国
251.HXC,390,美国
100.SX5E,510,欧洲
100.FTSE,510,欧洲
100.GDAXI,510,欧洲
100.FCHI,510,欧洲
100.AEX,510,欧洲
100.SSMI,510,欧洲
100.UDI,1440,外汇
133.USDCNH,1440,外汇
119.EURUSD,1440,外汇
107.UVXY,390,美国
101.GC00Y,1380,外汇
101.SI00Y,1380,外汇
102.CL00Y,1380,外汇
142.ecm,210,中国
1.000012,270,中国